Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/probe0_1,design_1_i/system_ila_0/inst/probe1_1,design_1_i/system_ila_0/inst/probe2_1,design_1_i/system_ila_0/inst/probe3_1[31:0],design_1_i/system_ila_0/inst/probe4_1[63:0],design_1_i/system_ila_0/inst/probe5_1[15:0],design_1_i/system_ila_0/inst/probe6_1,design_1_i/system_ila_0/inst/probe7_1,design_1_i/system_ila_0/inst/probe8_1,design_1_i/system_ila_0/inst/probe9_1,design_1_i/system_ila_0/inst/probe10_1[31:0],design_1_i/system_ila_0/inst/probe11_1[15:0],design_1_i/system_ila_0/inst/probe12_1,design_1_i/system_ila_0/inst/probe13_1,design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[15:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,design_1_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_1_axis_tlast,design_1_i/system_ila_0/inst/net_slot_2_axis_tdata[127:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_2_axis_tready,design_1_i/system_ila_0/inst/net_slot_2_axis_tlast,design_1_i/system_ila_0/inst/net_slot_3_axis_tdata[127:0],design_1_i/system_ila_0/inst/net_slot_3_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_3_axis_tlast,design_1_i/system_ila_0/inst/net_slot_4_axis_tdata[127:0],design_1_i/system_ila_0/inst/net_slot_4_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_4_axis_tlast,design_1_i/system_ila_0/inst/net_slot_5_axis_tdata[15:0],design_1_i/system_ila_0/inst/net_slot_5_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_5_axis_tready,design_1_i/system_ila_0/inst/net_slot_5_axis_tlast,design_1_i/system_ila_0/inst/net_slot_6_axis_tdata[15:0],design_1_i/system_ila_0/inst/net_slot_6_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_6_axis_tlast,design_1_i/system_ila_0/inst/net_slot_7_axis_tdata[63:0],design_1_i/system_ila_0/inst/net_slot_7_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_7_axis_tlast,design_1_i/system_ila_0/inst/net_slot_8_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_8_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_8_axis_tready,design_1_i/system_ila_0/inst/net_slot_8_axis_tlast,design_1_i/system_ila_0/inst/net_slot_9_axis_tdata[63:0],design_1_i/system_ila_0/inst/net_slot_9_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_9_axis_tlast,Interface_(i1:s0)_(cordic_0_M_AXIS_DOUT)[2:0],Interface_(i1:s1)_(cordic_average_0_m_axis_cartesian)[2:0],Interface_(i1:s2)_(usp_rf_data_converter_0_m01_axis)[2:0],Interface_(i1:s3)_(PostCordicExtension_0_m_axis)[2:0],Interface_(i1:s4)_(sync_axis_power_mod_0_m_axis)[2:0],Interface_(i1:s5)_(axis_tlast_gen_3_m_axis)[2:0],Interface_(i1:s6)_(cic_compiler_2_M_AXIS_DATA)[2:0],Interface_(i1:s7)_(iq_split_0_m_axis_i)[2:0],Interface_(i1:s8)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s9)_(iq_split_0_m_axis_q)[2:0],T_Channel_(i1:s0)_(cordic_0_M_AXIS_DOUT)[2:0],T_Channel_(i1:s1)_(cordic_average_0_m_axis_cartesian)[2:0],T_Channel_(i1:s2)_(usp_rf_data_converter_0_m01_axis)[2:0],T_Channel_(i1:s3)_(PostCordicExtension_0_m_axis)[2:0],T_Channel_(i1:s4)_(sync_axis_power_mod_0_m_axis)[2:0],T_Channel_(i1:s5)_(axis_tlast_gen_3_m_axis)[2:0],T_Channel_(i1:s6)_(cic_compiler_2_M_AXIS_DATA)[2:0],T_Channel_(i1:s7)_(iq_split_0_m_axis_i)[2:0],T_Channel_(i1:s8)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s9)_(iq_split_0_m_axis_q)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,0,00000004,0020003c00350023,0000,1,0,0,0,00000000,0000,0,1,f805,1,0,00040009,1,0,002c0020000b003cffed0035ffd90023,1,1,0,17c1156f17c1156f17c1156f17c1156f,1,0,00003c7900003c7900003c7900003c79,1,0,fe99,0,0,0,fe99,0,0,0020003c00350023,1,0,41484278,0,1,0,002c000bffedffd9,1,0,"_","_","_","_","_","Inactive","Inactive","_","_","_","_","_","_","_","_","No Streams","No Streams","_","_","_"
1,1,0,0,0,0,00000004,003e001600090011,0000,1,0,1,0,00000000,0000,0,1,05c4,1,0,ffff0016,1,0,fff6003efffd0016ffce000900260011,1,1,0,17c1156f17c1156f17c1156f17c1156f,1,0,00003b1800003b1800003b1800003b18,1,0,fe99,0,0,0,fe99,0,0,003e001600090011,1,0,41484278,0,1,0,fff6fffdffce0026,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
2,2,0,0,0,0,00000004,001300010013002b,0000,1,0,1,0,00000000,0000,0,1,f307,1,0,fffc000d,1,0,ffea0013ffec0001001f00130022002b,1,1,0,17c1156f17c1156f17c1156f17c1156f,1,0,00003cf900003cf900003cf900003cf9,1,0,fe99,0,0,0,fe99,0,0,001300010013002b,1,0,41484278,0,1,0,ffeaffec001f0022,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
3,3,0,0,0,0,00000004,00050015003c002b,0000,0,0,0,0,00000000,0000,0,1,0004,1,0,0002000a,1,0,00170005001c00150010003cfff5002b,1,1,0,17c1156f17c1156f17c1156f17c1156f,1,0,00003d6c00003d6c00003d6c00003d6c,1,0,fe99,0,0,0,fe99,0,0,00050015003c002b,1,0,41484278,0,1,0,0017001c0010fff5,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
4,4,0,0,0,0,00000004,002e001c0014ffff,0000,1,0,0,0,00000000,0000,0,1,0b78,1,0,00070010,1,0,0023002efffe001cfff70014fffdffff,1,1,0,17c1156f17c1156f17c1156f17c1156f,1,0,00003e0b00003e0b00003e0b00003e0b,1,0,fe99,0,0,0,fe99,0,0,002e001c0014ffff,1,0,41484278,0,1,0,0023fffefff7fffd,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
5,5,0,0,0,0,00000004,002c00370000001a,0000,1,0,0,0,00000000,0000,0,1,fe7b,1,0,0002000b,1,0,fff3002cffcb0037ffeb00000033001a,1,1,0,17c1156f17c1156f17c1156f17c1156f,1,0,00003bcf00003bcf00003bcf00003bcf,1,0,fe99,0,0,0,fe99,0,0,002c00370000001a,1,0,41484278,0,1,0,fff3ffcbffeb0033,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
6,6,0,0,0,0,00000004,00190006002c0031,0000,1,0,0,0,00000000,0000,0,1,fd7a,1,0,fffb000f,1,0,ffc60019001e00060038002c00120031,1,1,0,17c1156f17c1156f17c1156f17c1156f,1,0,00003c6700003c6700003c6700003c67,1,0,fe99,0,0,0,fe99,0,0,00190006002c0031,1,0,41484278,0,1,0,ffc6001e00380012,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
7,7,0,0,0,0,00000004,00170017001f0024,0000,1,0,0,0,00000000,0000,0,1,0304,1,0,0005000f,1,0,001d0017001f0017fff8001ffff50024,1,1,0,17c1156f17c1156f17c1156f17c1156f,1,0,00003d6200003d6200003d6200003d62,1,0,fe99,0,0,0,fe99,0,0,00170017001f0024,1,0,41484278,0,1,0,001d001ffff8fff5,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
8,8,0,0,0,0,00000004,0038002d001b0000,0000,1,0,0,0,00000000,0000,0,1,0703,1,0,0005000e,1,0,00130038fff6002dffee001bffd60000,1,1,0,17c1156f17c1156f17c1156f17c1156f,1,0,00003cba00003cba00003cba00003cba,1,0,fe99,0,0,0,fe99,0,0,0038002d001b0000,1,0,41484278,0,1,0,0013fff6ffeeffd6,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
